code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
EGY,エジプト,Egypt,114535772,396002496997.0,16691.13324,1911731830893.0,2023,2023,2023,1001450.0,114.3699356,2023,72.6899,2022,70.159,2023,32.43511919,2022,0.04518559445,2023,23.95,Cairo,カイロ,えじぷと
EST,エストニア,Estonia,1367196,41291245222.0,41763.01332,57098224759.0,2023,2023,2023,45340.0,30.15430084,2023,93.1834,2022,77.94390244,2023,15.96830301,2022,57.0652937,2023,6.94,Tallinn,タリン,えすとにあ
SWZ,エスワティニ,Eswatini,1230506,4442875788.0,10132.18726,12467717219.0,2023,2023,2023,17360.0,70.88168203,2023,57.62,2022,56.36,2023,33.66899471,2022,29.06860465,2023,21.06,Mbabane,ムババーネ,えすわてぃに
ETH,エチオピア,Ethiopia,128691692,163697927594.0,2755.457096,354604435889.0,2023,2023,2023,1136239.7,113.2610417,2021,16.6981,2022,65.645,2023,39.36563714,2022,14.99462063,2023,23.75,Addis Ababa,アディスアベバ,えちおぴあ
ERI,エリトリア,Eritrea,3470390,2065001626.0,0.0,0.0,2011,0,2023,121630.327,28.53227551,2023,20.0104,2022,66.604,2023,38.67743088,2022,8.666001453,2023,26.88,Asmara,アスマラ,えりとりあ
SLV,エルサルバドル,El Salvador,6309624,34015620000.0,11404.33423,71957060938.0,2023,2023,2023,21040.0,299.8870722,2023,67.6558,2022,71.475,2023,25.21039289,2022,27.74517375,2023,25.85,San Salvador,サンサルバドル,えるさるばどる
OMN,オマーン,Oman,5049269,108810923277.0,38311.41834,193444656977.0,2023,2023,2023,309500.0,16.31427787,2024,95.2517,2022,73.935,2023,25.22777059,2022,0.007790306947,2023,28.23,Muscat,マスカット,おまーん
NLD,オランダ,Netherlands,18092524,1154361305398.0,69769.49588,1262306278592.0,2023,2023,2023,41540.0,435.5446317,2023,97.0068,2022,81.71463415,2023,15.17127419,2022,11.02966736,2023,11.68,Amsterdam,アムステルダム,おらんだ
AUS,オーストラリア,Australia,26451124,1728057316696.0,60883.57077,1610438879971.0,2023,2023,2023,7741220.0,3.416919297,2023,97.0631,2022,83.2,2023,18.03028295,2022,17.42131456,2023,22.32,Canberra,キャンベラ,おーすとらりあ
AUT,オーストリア,Austria,9130429,511685203845.0,64345.42324,587501318401.0,2023,2023,2023,83879.0,108.8523826,2024,94.9197,2022,81.09268293,2023,14.30263573,2022,47.20613185,2023,8.84,Vienna,ウィーン,おーすとりあ
